month,FFMC,DMC,DC,rain,temp,RH,wind,ISI,BUI,FWI,class
sep,91,129.5,692.6,0,13.1,63,5.4,7,11.3,4.5,fire
sep,92.5,88,698.6,0,22.8,40,4,7.1,14.2,7.1,fire
sep,92.5,88,698.6,0,17.8,51,7.2,7.1,16,7.6,fire
sep,92.8,73.2,713,0,19.3,38,4,22.6,19.2,18.9,fire
sep,90.9,126.5,686.5,0,21.3,42,2.2,7,65.1,1.9,fire
sep,92.9,133.3,699.6,0,26.4,21,4.5,9.2,43.1,15.4,fire
sep,93.3,141.2,713.9,0,22.9,44,5.4,13.9,8.4,13.8,fire
sep,91,129.5,692.6,0,18.3,40,2.7,7,17.6,9.3,fire
sep,91.8,78.5,724.3,0,19.1,38,2.7,9.2,22.9,8.7,fire
sep,92.4,117.9,668,0,19,34,5.8,12.2,43.1,2.6,fire
sep,90.9,126.5,686.5,0,19.4,48,1.3,7,47.5,3.5,fire
sep,93.4,145.4,721.4,0,30.2,24,2.7,8.1,50.9,2.6,fire
sep,93.5,149.3,728.6,0,22.8,39,3.6,8.1,54.7,4.1,fire
sep,94.3,85.1,692.3,0,25.4,24,3.6,15.9,57.1,1.7,fire
sep,88.6,91.8,709.9,0,11.2,78,7.6,7.1,59.3,2.8,fire
sep,88.6,69.7,706.8,0,20.6,37,1.8,5.8,62.9,2.3,fire
sep,91.7,75.6,718.3,0,17.7,39,3.6,7.8,67.4,9.2,fire
sep,91.8,78.5,724.3,0,21.2,32,2.7,9.2,39.4,3.1,fire
sep,90.3,80.7,730.2,0,18.2,62,4.5,6.3,56.1,1.8,fire
sep,92.5,88,698.6,0,19.6,48,2.7,7.1,9,4.9,fire
sep,90.1,82.9,735.7,0,12.9,74,4.9,6.2,7.7,7.6,fire
sep,94.3,85.1,692.3,0,25.9,24,4,15.9,6.8,6.1,fire
sep,90.9,126.5,686.5,0,14.7,70,3.6,7,12.5,8.5,fire
sep,92.9,137,706.4,0,20.8,17,1.3,9.2,19.2,4.5,fire
sep,92.9,137,706.4,0,27.7,24,2.2,9.2,39.5,8.1,fire
sep,90.3,80.7,730.2,0,17.8,63,4.9,6.3,44,7.1,fire
sep,92.4,117.9,668,0,23,37,4.5,12.2,23.5,10.6,fire
sep,92.4,117.9,668,0,19.6,33,5.4,12.2,10.5,6.3,fire
sep,92.4,117.9,668,0,19.6,33,6.3,12.2,6.9,4.2,fire
sep,94.3,85.1,692.3,0,17.7,37,3.6,15.9,15.8,3.8,fire
sep,93.3,141.2,713.9,0,27.6,30,1.3,13.9,17.5,4.7,fire
sep,92.9,137,706.4,0,21.5,15,0.9,9.2,54.9,20.4,fire
sep,92.9,137,706.4,0,25.4,27,2.2,9.2,59.5,22.3,fire
sep,92.9,137,706.4,0,22.4,34,2.2,9.2,64,20.9,fire
sep,93.5,149.3,728.6,0,25.3,36,3.6,8.1,68,20.3,fire
sep,89.7,90,704.4,0,17.8,64,1.3,4.8,24.4,6.3,fire
sep,92.5,121.1,674.4,0,24.1,29,4.5,8.6,38.8,22.3,fire
sep,92.5,88,698.6,0,20.3,45,3.1,7.1,57.1,19.9,fire
sep,88.6,91.8,709.9,0,17.4,56,5.4,7.1,59.3,30.2,fire
sep,89.7,90,704.4,0,22.8,39,3.6,4.8,15.7,17.2,fire
sep,91.8,78.5,724.3,0,18.9,35,2.7,9.2,19.5,16.8,fire
sep,92.4,124.1,680.7,0,22.5,42,5.4,8.5,6.9,30.2,fire
sep,84.4,73.4,671.9,0,17.9,45,3.1,3.2,11,14.6,fire
sep,94.3,85.1,692.3,0,19.8,50,5.4,15.9,16.4,16.1,fire
sep,93.5,149.3,728.6,0,17.2,43,3.1,8.1,18.4,18.4,fire
sep,93.7,80.9,685.2,0,17.6,42,3.1,17.9,35.9,13.2,fire
sep,92.4,124.1,680.7,0,17.2,58,1.3,8.5,41.3,33.7,fire
sep,90.9,126.5,686.5,0,15.6,66,3.1,7,45.5,21.6,fire
sep,91,129.5,692.6,0,21.7,38,2.2,7,54.9,5.1,fire
sep,90.9,126.5,686.5,0,21.9,39,1.8,7,59.5,11.6,fire
sep,84.4,73.4,671.9,0,24.2,28,3.6,3.2,27.2,4.7,fire
sep,93.7,80.9,685.2,0,23.7,25,4.5,17.9,17.6,8.7,fire
sep,94.3,85.1,692.3,0,20.1,47,4.9,15.9,34.7,6.5,fire
sep,93.4,145.4,721.4,0,29.6,27,2.7,8.1,38.8,8.1,fire
sep,93.4,145.4,721.4,0,28.6,27,2.2,8.1,47.5,4.5,fire
sep,92.4,117.9,668,0,19,34,5.8,12.2,57.1,18.9,fire
sep,92.5,121.1,674.4,0,17.8,56,1.8,8.6,50.2,13.8,fire
sep,89.7,90,704.4,0,17.8,67,2.2,4.8,54.9,9.5,fire
sep,92.9,133.3,699.6,0,21.9,35,1.8,9.2,35.7,9.1,fire
sep,90.9,126.5,686.5,0,17.7,39,2.2,7,22,3.8,fire
sep,90.1,82.9,735.7,0,18.3,45,2.2,6.2,4.6,1.7,fire
sep,92.4,124.1,680.7,0,23.9,32,6.7,8.5,9.1,2.3,fire
sep,91,129.5,692.6,0,17.6,46,3.1,7,26.2,1.7,fire
sep,90.9,126.5,686.5,0,21,42,2.2,7,28.9,2.3,fire
sep,92.9,133.3,699.6,0,24.3,25,4,9.2,16.9,8.2,fire
sep,92.9,137,706.4,0,21.5,15,0.9,9.2,9.7,3.8,fire
sep,91,129.5,692.6,0,13.9,59,6.3,7,11.5,4.9,fire
sep,63.5,70.8,665.3,0,22.6,38,3.6,0.8,14.9,7.6,fire
sep,91,129.5,692.6,0,21.6,33,2.2,7,18.3,6.1,fire
sep,92.9,137,706.4,0,22.1,34,1.8,9.2,28.3,4.5,fire
sep,91,129.5,692.6,0,20.7,37,2.2,7,30.4,7.6,fire
sep,92.4,117.9,668,0,19.6,33,6.3,12.2,35.9,4,fire
sep,93.7,80.9,685.2,0,23.2,26,4.9,17.9,35.5,2,fire
sep,94.3,85.1,692.3,0,20.1,47,4.9,15.9,45.5,6.8,fire
sep,92.4,124.1,680.7,0,16.9,60,1.3,8.5,64,19.4,fire
sep,88.6,91.8,709.9,0,12.4,73,6.3,7.1,68,13.9,fire
sep,92.9,133.3,699.6,0,19.4,19,1.3,9.2,30.6,19.9,fire
sep,93.3,141.2,713.9,0,18.6,49,3.6,13.9,39.3,10.6,fire
sep,90.1,82.9,735.7,0,15.4,57,4.5,6.2,44.9,3.9,fire
sep,93.5,149.3,728.6,0,22.9,39,4.9,8.1,12.9,12.9,fire
sep,93.5,149.3,728.6,0,28.3,26,3.1,8.1,14.2,1.9,fire
sep,92.9,133.3,699.6,0,26.4,21,4.5,9.2,19.2,3.6,fire
sep,93.5,149.3,728.6,0,27.8,27,3.1,8.1,11.2,7.6,fire
sep,91,129.5,692.6,0,18.7,43,2.7,7,9.9,7,fire
sep,84.4,73.4,671.9,0,24.3,36,3.1,3.2,6.4,6.5,fire
sep,92.5,121.1,674.4,0,17.7,25,3.1,8.6,8.1,8.1,fire
sep,92.5,121.1,674.4,0,18.2,46,1.8,8.6,4.6,4.5,fire
sep,91,129.5,692.6,0,18.8,40,2.2,7,6.6,7.1,fire
sep,92.5,121.1,674.4,0,25.1,27,4,8.6,9.1,7.6,fire
sep,89.6,84.1,714.3,0,19,52,2.2,5.7,18.7,1.7,fire
sep,89.6,84.1,714.3,0,17.1,53,5.4,5.7,16.7,2.8,fire
sep,89.6,84.1,714.3,0,23.8,35,3.6,5.7,13.7,2.3,fire
sep,92.4,105.8,758.1,0,16,45,1.8,9.9,9.4,9.2,fire
sep,92.4,105.8,758.1,0,24.9,27,2.2,9.9,9,3.1,fire
sep,92.4,105.8,758.1,0,25.3,27,2.7,9.9,7.7,1.8,fire
sep,92.4,105.8,758.1,0,24.8,28,1.8,9.9,6.8,4.1,fire
sep,50.4,46.2,706.6,0,12.2,78,6.3,0.4,12.5,6.7,fire
sep,92.6,115.4,777.1,0,24.3,27,4.9,8.8,10.9,8.2,fire
sep,92.6,115.4,777.1,0,19.7,41,1.8,8.8,10.4,12.6,fire
sep,91.2,134.7,817.5,0,18.5,30,2.7,7.2,17.7,5.9,fire
sep,92.4,96.2,739.4,0,18.6,24,5.8,8.6,19.2,4.6,fire
sep,92.4,96.2,739.4,0,19.2,24,4.9,8.6,20.9,3.8,fire
sep,92.8,119,783.5,0,21.6,27,2.2,7.5,23.9,4.9,fire
sep,92.8,119,783.5,0,21.6,28,6.3,7.5,27.7,5.7,fire
sep,92.8,119,783.5,0,18.9,34,7.2,7.5,32.6,6.8,fire
sep,92.8,119,783.5,0,16.8,28,4,7.5,39.5,3.1,fire
sep,92.8,119,783.5,0,16.8,28,4,7.5,44,8.4,fire
sep,90.7,136.9,822.8,0,12.9,39,2.7,6.8,46.5,10.6,fire
sep,88.1,53.3,726.9,0,13.7,56,1.8,5.4,57,15,fire
sep,92.2,102.3,751.5,0,24.2,27,3.1,8.4,7.7,13.9,fire
sep,92.2,102.3,751.5,0,24.1,27,3.1,8.4,11.3,3.9,fire
sep,92.2,102.3,751.5,0,21.2,32,2.2,8.4,14.2,12.9,fire
sep,92.2,102.3,751.5,0,19.7,35,1.8,8.4,16,23.6,fire
sep,92.2,102.3,751.5,0,23.5,27,4,8.4,19.2,31.4,fire
sep,92.2,102.3,751.5,0,24.2,27,3.1,8.4,16.7,34.7,fire
sep,91.2,124.4,795.3,0,21.5,28,4.5,8.5,13.7,12.8,fire
sep,91.2,124.4,795.3,0,17.1,41,2.2,8.5,9.4,23.6,fire
sep,92.1,87.7,721.1,0,18.1,54,3.1,9.5,9,31.9,fire
sep,91.6,108.4,764,0,18,51,5.4,6.2,7.7,21.9,fire
sep,91.6,108.4,764,0,9.8,86,1.8,6.2,6.8,4,fire
sep,91.6,108.4,764,0,19.3,44,2.2,6.2,12.5,1.9,fire
sep,91.6,108.4,764,0,23,34,2.2,6.2,10.9,1.4,fire
sep,91.6,108.4,764,0,22.7,35,2.2,6.2,10.4,2.8,fire
sep,91.6,108.4,764,0,20.4,41,1.8,6.2,17.7,7.9,fire
sep,91.6,108.4,764,0,19.3,44,2.2,6.2,19.2,8.5,fire
sep,91.9,111.7,770.3,0,15.7,51,2.2,6.5,20.9,10.2,fire
sep,91.5,130.1,807.1,0,20.6,37,1.8,7.5,19.2,10.6,fire
sep,91.5,130.1,807.1,0,15.9,51,4.5,7.5,35,6.3,fire
sep,91.5,130.1,807.1,0,12.2,66,4.9,7.5,29.4,4.2,fire
sep,91.5,130.1,807.1,0,16.8,43,3.1,7.5,18.5,14.6,fire
sep,91.5,130.1,807.1,0,21.3,35,2.2,7.5,29.4,16.1,fire
sep,92.1,99,745.3,0,10.1,75,3.6,9.6,18.5,17.2,fire
sep,92.1,99,745.3,0,17.4,57,4.5,9.6,23.9,16.8,fire
sep,92.1,99,745.3,0,12.8,64,3.6,9.6,29.4,18.4,fire
sep,92.1,99,745.3,0,10.1,75,3.6,9.6,32.1,20.4,fire
sep,92.1,99,745.3,0,15.4,53,6.3,9.6,35,22.3,fire
sep,92.1,99,745.3,0,20.6,43,3.6,9.6,37.4,20.9,fire
sep,92.1,99,745.3,0,19.8,47,2.7,9.6,41.2,20.3,fire
sep,92.1,99,745.3,0,18.7,50,2.2,9.6,31,13.7,fire
sep,92.1,99,745.3,0,20.8,35,4.9,9.6,16,13.2,fire
sep,92.1,99,745.3,0,20.8,35,4.9,9.6,51,19.9,fire
sep,92.5,122,789.7,0,15.9,55,3.6,10.2,24.4,30.2,fire
sep,92.5,122,789.7,0,19.7,39,2.7,10.2,27.2,3.6,fire
sep,92.5,122,789.7,0,21.1,39,2.2,10.2,22,36.8,fire
sep,92.5,122,789.7,0,18.4,42,2.2,10.2,17.6,32.4,fire
sep,92.5,122,789.7,0,17.3,45,4,10.2,22.9,12.5,fire
sep,88.2,55.2,732.3,0,15.2,64,3.1,11.6,27.5,38.7,fire
sep,91.9,111.7,770.3,0,15.9,53,2.2,6.5,31.3,22.7,fire
sep,91.9,111.7,770.3,0,21.1,35,2.7,6.5,34.7,28.6,fire
sep,91.9,111.7,770.3,0,19.6,45,3.1,6.5,38.8,17.8,fire
sep,91.1,132.3,812.1,0,15.9,38,5.4,12.5,43.1,20,fire
sep,91.1,132.3,812.1,0,16.4,27,3.6,12.5,47.5,18.8,fire
sep,91.2,94.3,744.4,0,16.8,47,4.9,8.4,50.9,19.9,fire
sep,91,276.3,825.1,0,13.8,77,7.6,7.1,54.7,21.6,fire
sep,91,276.3,825.1,0,13.8,77,7.6,7.1,57.1,11.8,fire
sep,90.3,290,855.3,0,10.3,78,4,7.4,49.8,4.5,fire
sep,91.2,94.3,744.4,0,15.4,57,4.9,8.4,37.4,9.3,fire
sep,90.5,96.7,750.5,0,20.6,55,5.4,11.4,35,2.8,fire
sep,91.1,91.3,738.1,0,20.7,46,2.7,7.2,22.7,4.1,fire
sep,91,276.3,825.1,0,21.9,43,4,7.1,6.7,6.7,fire
sep,90.5,96.7,750.5,0,20.4,55,4.9,11.4,20.8,4.6,fire
sep,91.1,88.2,731.7,0,22.8,46,4,8.3,8.4,5.4,fire
sep,87.9,84.8,725.1,0,21.8,34,2.2,3.7,14.9,8.2,fire
sep,87.1,291.3,860.6,0,17,67,4.9,4,21.6,1.5,fire
sep,90.3,290,855.3,0,19.9,44,3.1,7.4,29.7,3.2,fire
sep,91.2,94.3,744.4,0,22.3,48,4,8.4,50.9,10.7,fire
sep,89.7,287.2,849.3,0,19.4,45,3.6,6.8,62.9,2.7,fire
sep,91.1,91.3,738.1,0,19.1,46,2.2,7.2,14.2,2.1,fire
sep,90.3,290,855.3,0,16.2,58,3.6,7.4,16,10.3,fire
sep,90.3,290,855.3,0,16.2,58,3.6,7.4,9.4,6.7,fire
sep,89.7,284.9,844,0,10.5,77,4,10.1,28.3,3.7,fire
sep,91,276.3,825.1,0,14.5,76,7.6,7.1,10.3,3.2,fire
sep,46,1.3,7.5,7.2,25,76,1.7,0.2,1.8,0.1,not fire
sep,30.5,0.7,7,10.1,22,86,1.5,0,1.1,0,not fire
sep,42.6,1.2,7.5,3.8,25,78,1.5,0.1,1.7,0,not fire
sep,68.4,1.9,15.7,0.1,29,73,1.7,1.4,2.9,0.5,not fire
sep,80.8,3.4,24,0,29,75,1.6,2.8,5.1,1.7,fire
sep,75.8,3.6,32.2,0.1,29,74,1.9,2.1,5.6,0.9,not fire
sep,69.6,3.2,30.1,0.3,31,71,1.7,1.5,5.1,0.6,not fire
sep,62,2.6,8.4,0.9,30,73,1.7,1.1,3,0.4,not fire
sep,56.1,2.1,8.4,1,30,77,1.5,0.7,2.6,0.2,not fire
sep,59.9,2.2,8.9,1.8,33,73,1.2,0.7,2.7,0.3,not fire
sep,58.5,1.9,8.4,1.8,30,77,2.1,1.1,2.4,0.3,not fire
sep,71,2.6,16.6,0,29,88,1.3,1.2,3.7,0.5,not fire
sep,40.9,1.3,7.5,4.6,25,86,2.1,0.1,1.8,0,not fire
sep,47.4,1.1,7,8.3,22,76,2.6,0.4,1.6,0.1,not fire
sep,44.9,0.9,7.3,0.4,24,82,1.5,0.2,1.4,0,not fire
sep,78.1,3.2,15.7,0,30,65,1.4,1.9,4.2,0.8,not fire
sep,87.7,6.4,24.3,0,31,52,1.4,6.2,7.7,5.9,fire
sep,89.4,9.8,33.1,0,32,49,1.1,6.8,11.3,7.7,fire
sep,89.3,12.5,41.3,0,29,57,1.4,7.8,14.2,9.7,fire
sep,83.8,13.5,49.3,0,28,84,1.8,4.5,16,6.3,fire
sep,87.8,16.5,57.9,0,31,55,1.1,5.4,19.2,8.3,fire
sep,77.8,10.6,41.4,0.6,31,50,1.9,2.4,12.9,2.8,not fire
sep,73.7,7.9,30.4,0.5,32,54,1.1,1.2,9.6,0.7,not fire
sep,68.3,5.5,15.2,0.6,29,65,1.9,1.5,5.8,0.7,not fire
sep,48.6,3,7.7,5.8,26,81,2.1,0.4,3,0.1,not fire
sep,82,6,16.3,0,31,54,1.1,2.5,6.2,1.7,not fire
sep,85.7,8.3,24.9,0,31,66,1.1,4,9,4.1,fire
sep,77.5,7.1,8.8,0.7,32,47,1.4,1.8,6.8,0.9,not fire
sep,47.4,2.9,7.7,1.8,26,80,1.6,0.3,3,0.1,not fire
sep,45,1.9,7.5,1.4,25,78,1.4,0.2,2.4,0.1,not fire
sep,37.9,0.9,8.2,0,29,86,1.6,0.1,1.4,0,not fire
sep,75.4,2.9,16.3,0,28,67,1.9,2,4,0.8,not fire
sep,82.2,4.4,24.3,0,28,75,1.6,3.3,6,2.5,fire
sep,73.5,4.1,26.6,0.2,30,66,1.5,1.5,6,0.7,not fire
sep,66.1,4,8.4,4.1,30,58,1.2,1,3.9,0.4,not fire
sep,64.5,3.3,9.1,6.5,34,71,1.4,1,3.5,0.4,not fire
sep,83.3,5.8,17.7,0,31,62,1.5,3.8,6.4,3.2,fire
sep,82.5,6.6,26.1,0,30,88,1.4,3,8.1,2.7,fire
sep,83.1,7.9,34.5,0,30,80,1.5,3.5,10,3.7,fire
sep,59.5,4.7,8.2,1.1,29,74,1.5,0.8,4.6,0.3,not fire
sep,79.2,6.5,16.6,0,30,73,1.4,2.1,6.6,1.2,not fire
sep,84.2,8.3,25.2,0,31,72,1.4,3.8,9.1,3.9,fire
sep,88.6,11.5,33.4,0,29,49,1.9,9.1,12.4,10.3,fire
sep,84.6,12.6,41.5,0,28,81,1.5,4.3,14.3,5.7,fire
sep,88.7,16,50.2,0,32,51,1.3,6.9,17.8,9.8,fire
sep,93.9,21.2,59.2,0,33,26,1.3,14.2,22.4,19.3,fire
sep,92.5,25.2,63.3,0,34,44,1.2,11.2,26.2,17.5,fire
sep,90.6,25.8,77.8,0.1,36,33,1.3,9,28.2,15.4,fire
sep,83.9,24.9,86,0.1,29,41,0.8,2.7,28.9,5.6,fire
sep,79.5,18.7,88,0.2,34,58,1.3,2.1,24.4,3.8,not fire
sep,92.2,23.6,97.3,0,35,34,1.7,13.8,29.4,21.6,fire
sep,88.9,26.1,106.3,0,33,64,1.3,7.1,32.4,13.7,fire
sep,89,29.4,115.6,0,35,56,1.4,7.5,36,15.2,fire
sep,61.3,11.9,28.1,2,26,49,0.6,0.6,11.9,0.4,not fire
sep,79.9,13.8,36.1,0,28,70,1.5,2.4,14.1,3,not fire
sep,85.4,16,44.5,0,30,65,1.4,4.5,16.9,6.5,fire
sep,41.1,6.5,8,4.4,28,87,1.5,0.1,6.2,0,not fire
sep,45.9,3.5,7.9,0.5,27,87,2.9,0.4,3.4,0.2,not fire
sep,79.7,4.3,15.2,0.1,24,54,1.8,1.7,5.1,0.7,not fire
sep,67.3,3.8,16.5,0.2,24,64,1.5,1.2,4.8,0.5,not fire
oct,90.6,35.4,669.1,0,18,33,0.9,6.7,50.9,8.7,fire
oct,90.6,43.7,686.9,0,14.6,33,1.3,6.7,54.7,3.6,fire
oct,84.9,32.8,664.2,0,16.7,47,4.9,3,24.4,3.8,fire
oct,90.6,35.4,669.1,0,21.7,24,4.5,6.7,7.8,4.1,fire
oct,90,41.5,682.6,0,11.3,60,5.4,8.7,10.3,6.7,fire
oct,90.6,43.7,686.9,0,17.8,27,4,6.7,14.1,8.2,fire
oct,92.6,46.5,691.8,0,13.8,50,2.7,8.8,46.5,6.8,fire
oct,92.6,46.5,691.8,0,20.6,24,5.4,8.8,15.8,17.2,fire
oct,91.4,37.9,673.8,0,15.9,46,3.6,5.2,17.5,20.4,fire
oct,92.6,46.5,691.8,0,15.4,35,0.9,8.8,22.3,22.3,fire
oct,84.9,32.8,664.2,0,19.1,32,4,3,12.4,9.2,fire
oct,91.7,48.5,696.1,0,16.8,45,4.5,11.1,17.8,1.8,fire
oct,91.4,37.9,673.8,0,20.2,37,2.7,5.2,29.7,2.8,fire
oct,90.6,43.7,686.9,0,18.4,25,3.1,6.7,38.1,8.1,fire
oct,91.7,48.5,696.1,0,16.1,44,4,11.1,7.7,5.7,fire
nov,79.5,3,106.7,0,11.8,31,4.5,1.1,19.5,4.7,fire
may,85.1,28,113.8,0,11.3,94,4.9,3.5,14.1,4.1,fire
may,89.6,25.4,73.7,0,18,40,4,5.7,12.5,19.3,fire
mar,86.2,26.2,94.3,0,8.2,51,6.7,5.1,47.5,5.1,fire
mar,91.7,33.3,77.5,0.2,8.3,97,4,9,57.1,7.6,fire
